ticker,company,action,date_or_period,date_precision,category,source_url,source_type,quote_or_evidence,confidence
UBER,Uber Technologies,BUY,2025-08,month,own_trade,https://newsonwallstreet.com/5-stocks-mark-minervini-has-mentioned-on-x-a-traders-watchlist-highlights/,article,Quoted X post (mid-Aug 2025): We added $CCL and $UBER long this morning,medium
SPY,SPDR S&P 500 ETF,SELL,2025-08-18,exact,own_trade,https://x.com/markminervini/status/1958176651340116452,other,SHORT: I shorted the SPY again on August 18th... residual longs moved against me,high
MRUS,Merus,SELL,2025-09,month,own_trade,https://newsonwallstreet.com/5-stocks-mark-minervini-has-mentioned-on-x-a-traders-watchlist-highlights/,article,Quoted X post (late Sep 2025): Booked +36% in $MRUS on the open... I sold into strength (Genmab deal news),medium
SPY,SPDR S&P 500 ETF,SELL,2025-10-29,exact,own_trade,https://x.com/markminervini/status/1989010898585899326,other,SHORT: my $SPY short initiated on 10/29... I doubled up on 11/10,high
RTX,RTX Corp,SELL,2026-06-02,exact,own_trade,https://x.com/markminervini/status/2061860791091872092,other,SHORT: I did short $RTX today. Looks very heavy under the 200-day line,high
ASML,ASML Holding,HOLD,2026-06-11,exact,own_trade,https://x.com/markminervini/status/2065129055406444742,other,Names long include: $ASML ... $PSX - all but $PSX are profitable; most added before the pullback,high
FRST,unverified - ticker as written in post,HOLD,2026-06-11,exact,own_trade,https://x.com/markminervini/status/2065129055406444742,other,Names long include: $ASML ... $PSX - all but $PSX are profitable; most added before the pullback,high
KRYS,Krystal Biotech,HOLD,2026-06-11,exact,own_trade,https://x.com/markminervini/status/2065129055406444742,other,Names long include: $ASML ... $PSX - all but $PSX are profitable; most added before the pullback,high
MAR,Marriott International,HOLD,2026-06-11,exact,own_trade,https://x.com/markminervini/status/2065129055406444742,other,Names long include: $ASML ... $PSX - all but $PSX are profitable; most added before the pullback,high
MATX,Matson,HOLD,2026-06-11,exact,own_trade,https://x.com/markminervini/status/2065129055406444742,other,Names long include: $ASML ... $PSX - all but $PSX are profitable; most added before the pullback,high
MNST,Monster Beverage,HOLD,2026-06-11,exact,own_trade,https://x.com/markminervini/status/2065129055406444742,other,Names long include: $ASML ... $PSX - all but $PSX are profitable; most added before the pullback,high
MS,Morgan Stanley,HOLD,2026-06-11,exact,own_trade,https://x.com/markminervini/status/2065129055406444742,other,Names long include: $ASML ... $PSX - all but $PSX are profitable; most added before the pullback,high
PSMT,PriceSmart,HOLD,2026-06-11,exact,own_trade,https://x.com/markminervini/status/2065129055406444742,other,Names long include: $ASML ... $PSX - all but $PSX are profitable; most added before the pullback,high
PSX,Phillips 66,HOLD,2026-06-11,exact,own_trade,https://x.com/markminervini/status/2065129055406444742,other,Names long include: $ASML ... $PSX - all but $PSX are profitable; most added before the pullback,high
ROST,Ross Stores,HOLD,2026-06-11,exact,own_trade,https://x.com/markminervini/status/2065129055406444742,other,Names long include: $ASML ... $PSX - all but $PSX are profitable; most added before the pullback,high
SMFG,Sumitomo Mitsui Financial,HOLD,2026-06-11,exact,own_trade,https://x.com/markminervini/status/2065129055406444742,other,Names long include: $ASML ... $PSX - all but $PSX are profitable; most added before the pullback,high
VIK,Viking Holdings,HOLD,2026-06-11,exact,own_trade,https://x.com/markminervini/status/2065129055406444742,other,Names long include: $ASML ... $PSX - all but $PSX are profitable; most added before the pullback,high
